<BEG GLOBAL>
	Process[s]	16232-EAD
	Lot[s]	16232
	Wafer[s]	1
	Mask[s]	EAD
	Operator[s]	default
	Date[s]	16/05/2023
	Time[s]	11:26:38
	WaferInfo[s]	
<END GLOBAL>
<BEG>	WAFER (1)
	<BEG>	DIE (0 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	-2.121772E-11
					0.02	1.461627E-11
					0.04	-3.114466E-11
					0.06	6.783317E-12
					0.08	1.660140E-12
					0.1	1.792506E-11
					0.12	-1.382050E-11
					0.14	4.308122E-11
					0.16	1.444970E-12
					0.18	4.470943E-11
					0.2	6.360275E-11
					0.22	1.083966E-10
					0.24	2.518728E-10
					0.26	4.661710E-10
					0.28	9.956306E-10
					0.3	2.170665E-09
					0.32	4.631153E-09
					0.34	9.890336E-09
					0.36	2.135278E-08
					0.38	4.573631E-08
					0.4	9.807577E-08
					0.42	2.101056E-07
					0.44	4.506955E-07
					0.46	9.637370E-07
					0.48	2.059569E-06
					0.5	4.401750E-06
					0.52	9.371229E-06
					0.54	1.996563E-05
					0.56	4.244591E-05
					0.58	9.011676E-05
					0.6	1.905499E-04
					0.62	4.002232E-04
					0.64	8.304032E-04
					0.66	1.678598E-03
					0.68	3.281315E-03
					0.7	6.038302E-03
					0.72	1.031676E-02
					0.74	1.622216E-02
					0.76	2.370698E-02
					0.78	3.251376E-02
					0.8	4.235862E-02
					0.82	5.305085E-02
					0.84	6.437379E-02
					0.86	7.623138E-02
					0.88	8.849035E-02
					0.9	1.010804E-01
					0.92	1.139402E-01
					0.94	1.270544E-01
					0.96	1.403921E-01
					0.98	1.538677E-01
					1.0	1.674927E-01
					1.02	1.812623E-01
					1.04	1.951268E-01
					1.06	2.091090E-01
					1.08	2.231634E-01
					1.1	2.373152E-01
					1.12	2.515055E-01
					1.14	2.657752E-01
					1.16	2.801159E-01
					1.18	2.944882E-01
					1.2	3.089363E-01
					1.22	3.233990E-01
					1.24	3.379212E-01
					1.26	3.524683E-01
					1.28	3.670392E-01
					1.3	3.816919E-01
					1.32	3.963522E-01
					1.34	4.110741E-01
					1.36	4.258061E-01
					1.38	4.405689E-01
					1.4	4.553686E-01
					1.42	4.701714E-01
					1.44	4.850028E-01
					1.46	4.997217E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-4 0)
	<BEG>	DIE (-5 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	1.255191E-11
					0.02	1.333695E-11
					0.04	1.051080E-11
					0.06	7.713738E-12
					0.08	6.393705E-12
					0.1	2.284466E-11
					0.12	-1.443113E-11
					0.14	1.240072E-11
					0.16	5.969202E-12
					0.18	2.272253E-11
					0.2	6.130581E-11
					0.22	1.222191E-10
					0.24	2.050088E-10
					0.26	4.787786E-10
					0.28	9.839656E-10
					0.3	2.148010E-09
					0.32	4.583594E-09
					0.34	9.810898E-09
					0.36	2.101943E-08
					0.38	4.504810E-08
					0.4	9.655086E-08
					0.42	2.068609E-07
					0.44	4.437955E-07
					0.46	9.489814E-07
					0.48	2.028273E-06
					0.5	4.335098E-06
					0.52	9.230614E-06
					0.54	1.966747E-05
					0.56	4.181318E-05
					0.58	8.878559E-05
					0.6	1.877652E-04
					0.62	3.944985E-04
					0.64	8.188896E-04
					0.66	1.656542E-03
					0.68	3.241553E-03
					0.7	5.974486E-03
					0.72	1.022475E-02
					0.74	1.610665E-02
					0.76	2.357399E-02
					0.78	3.237060E-02
					0.8	4.221294E-02
					0.82	5.290827E-02
					0.84	6.424000E-02
					0.86	7.610742E-02
					0.88	8.838005E-02
					0.9	1.009851E-01
					0.92	1.138630E-01
					0.94	1.269947E-01
					0.96	1.403525E-01
					0.98	1.538463E-01
					1.0	1.674934E-01
					1.02	1.812850E-01
					1.04	1.951702E-01
					1.06	2.091752E-01
					1.08	2.232527E-01
					1.1	2.374296E-01
					1.12	2.516436E-01
					1.14	2.659398E-01
					1.16	2.803043E-01
					1.18	2.947012E-01
					1.2	3.091751E-01
					1.22	3.236604E-01
					1.24	3.382092E-01
					1.26	3.527793E-01
					1.28	3.673824E-01
					1.3	3.820559E-01
					1.32	3.967442E-01
					1.34	4.114946E-01
					1.36	4.262547E-01
					1.38	4.410431E-01
					1.4	4.558668E-01
					1.42	4.706935E-01
					1.44	4.855569E-01
					1.46	4.997094E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-5 0)
	<BEG>	DIE (-6 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	-6.427688E-13
					0.02	3.673115E-11
					0.04	2.617090E-11
					0.06	7.315118E-11
					0.08	1.072975E-10
					0.1	1.347856E-10
					0.12	1.646229E-10
					0.14	1.701705E-10
					0.16	2.104983E-10
					0.18	2.424289E-10
					0.2	3.084014E-10
					0.22	3.524101E-10
					0.24	5.172628E-10
					0.26	7.895786E-10
					0.28	1.323568E-09
					0.3	2.484490E-09
					0.32	4.970851E-09
					0.34	1.005388E-08
					0.36	2.140248E-08
					0.38	4.539245E-08
					0.4	9.686305E-08
					0.42	2.069246E-07
					0.44	4.433013E-07
					0.46	9.474595E-07
					0.48	2.024351E-06
					0.5	4.325751E-06
					0.52	9.209405E-06
					0.54	1.962161E-05
					0.56	4.171600E-05
					0.58	8.857928E-05
					0.6	1.873323E-04
					0.62	3.935902E-04
					0.64	8.170657E-04
					0.66	1.652929E-03
					0.68	3.235793E-03
					0.7	5.965789E-03
					0.72	1.021723E-02
					0.74	1.610309E-02
					0.76	2.358144E-02
					0.78	3.239574E-02
					0.8	4.226004E-02
					0.82	5.298423E-02
					0.84	6.434438E-02
					0.86	7.624473E-02
					0.88	8.855367E-02
					0.9	1.011942E-01
					0.92	1.141086E-01
					0.94	1.272846E-01
					0.96	1.406808E-01
					0.98	1.542167E-01
					1.0	1.679080E-01
					1.02	1.817482E-01
					1.04	1.956794E-01
					1.06	2.097230E-01
					1.08	2.238458E-01
					1.1	2.380735E-01
					1.12	2.523309E-01
					1.14	2.666776E-01
					1.16	2.810891E-01
					1.18	2.955309E-01
					1.2	3.100581E-01
					1.22	3.245932E-01
					1.24	3.391928E-01
					1.26	3.538133E-01
					1.28	3.684666E-01
					1.3	3.831972E-01
					1.32	3.979352E-01
					1.34	4.127359E-01
					1.36	4.275523E-01
					1.38	4.423886E-01
					1.4	4.572705E-01
					1.42	4.721522E-01
					1.44	4.870635E-01
					1.46	4.997278E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-6 0)
	<BEG>	DIE (-7 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	-4.562361E-12
					0.02	-3.800541E-12
					0.04	9.074469E-12
					0.06	-1.100003E-11
					0.08	-7.237455E-12
					0.1	-1.805853E-12
					0.12	1.865777E-11
					0.14	1.329624E-11
					0.16	1.127840E-11
					0.18	1.092949E-11
					0.2	5.093162E-11
					0.22	1.005287E-10
					0.24	2.206572E-10
					0.26	4.755220E-10
					0.28	1.002912E-09
					0.3	2.141207E-09
					0.32	4.595876E-09
					0.34	9.878305E-09
					0.36	2.109791E-08
					0.38	4.523017E-08
					0.4	9.699810E-08
					0.42	2.077762E-07
					0.44	4.456735E-07
					0.46	9.530787E-07
					0.48	2.036906E-06
					0.5	4.353131E-06
					0.52	9.268344E-06
					0.54	1.974701E-05
					0.56	4.198042E-05
					0.58	8.914150E-05
					0.6	1.885144E-04
					0.62	3.960788E-04
					0.64	8.222243E-04
					0.66	1.663701E-03
					0.68	3.256608E-03
					0.7	6.006194E-03
					0.72	1.028789E-02
					0.74	1.621931E-02
					0.76	2.375622E-02
					0.78	3.264227E-02
					0.8	4.258600E-02
					0.82	5.339692E-02
					0.84	6.485227E-02
					0.86	7.685275E-02
					0.88	8.926266E-02
					0.9	1.020094E-01
					0.92	1.150330E-01
					0.94	1.283170E-01
					0.96	1.418252E-01
					0.98	1.554793E-01
					1.0	1.692804E-01
					1.02	1.832335E-01
					1.04	1.972716E-01
					1.06	2.114415E-01
					1.08	2.256770E-01
					1.1	2.400172E-01
					1.12	2.543947E-01
					1.14	2.688555E-01
					1.16	2.833840E-01
					1.18	2.979452E-01
					1.2	3.125868E-01
					1.22	3.272429E-01
					1.24	3.419580E-01
					1.26	3.566955E-01
					1.28	3.714719E-01
					1.3	3.863216E-01
					1.32	4.011831E-01
					1.34	4.161025E-01
					1.36	4.310450E-01
					1.38	4.459923E-01
					1.4	4.609939E-01
					1.42	4.759943E-01
					1.44	4.910254E-01
					1.46	4.997339E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-7 0)
	<BEG>	DIE (-8 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	3.936919E-10
